protein_accession	db_source	name	stringid	sym	geneid	fam
P11586	SWISS-PROT	Methylenetetrahydrofolate dehydrogenase	ENSP00000450560	MTHFD1	4522	Enzyme
P11597	SWISS-PROT	Cholesteryl ester transfer protein	ENSP00000200676	CETP	1071	None
P11678	SWISS-PROT	Eosinophil peroxidase	ENSP00000225371	EPX	8288	Enzyme
P11712	SWISS-PROT	Cytochrome P450 2C9	ENSP00000260682	CYP2C9	1559	None
P11717	SWISS-PROT	Insulin-like growth factor II receptor	ENSP00000349437	IGF2R	3482	None
P11766	SWISS-PROT	Alcohol dehydrogenase class III	ENSP00000296412	ADH5	128	Enzyme
P11802	SWISS-PROT	Cyclin-dependent kinase 4	ENSP00000257904	CDK4	1019	Kinase
P11836	SWISS-PROT	B-lymphocyte antigen CD20	ENSP00000314620	MS4A1	931	None
P11926	SWISS-PROT	Ornithine decarboxylase	ENSP00000234111	ODC1	4953	Enzyme
P12081	SWISS-PROT	Histidyl-tRNA synthetase	ENSP00000425634	HARS	3035	Enzyme
P12104	SWISS-PROT	Fatty acid binding protein intestinal	ENSP00000274024	FABP2	2169	None
P12235	SWISS-PROT	Adenine nucleotide translocator 1	ENSP00000281456	SLC25A4	291	Transporter
P12259	SWISS-PROT	Coagulation factor V	ENSP00000356771	F5	2153	None
P12268	SWISS-PROT	Inosine-5'-monophosphate dehydrogenase 2	ENSP00000321584	IMPDH2	3615	Enzyme
P12277	SWISS-PROT	Creatine kinase B-type	ENSP00000299198	CKB	1152	Kinase
P12314	SWISS-PROT	High affinity immunoglobulin gamma Fc receptor I	ENSP00000358165	FCGR1A	2209	None
P12318	SWISS-PROT	Low affinity immunoglobulin gamma Fc region receptor II-a	ENSP00000271450	FCGR2A	2212	None
P12319	SWISS-PROT	IgE Fc receptor, alpha-subunit	ENSP00000357097	FCER1A	2205	None
P12544	SWISS-PROT	Granzyme A	ENSP00000274306	GZMA	3001	Enzyme
P12644	SWISS-PROT	Bone morphogenetic protein 4	ENSP00000245451	BMP4	652	None
P12821	SWISS-PROT	Angiotensin-converting enzyme	ENSP00000290866	ACE	1636	Enzyme
P12931	SWISS-PROT	Tyrosine-protein kinase SRC	ENSP00000350941	SRC	6714	Kinase
P12955	SWISS-PROT	Xaa-Pro dipeptidase	ENSP00000244137	PEPD	5184	Enzyme
P13051	SWISS-PROT	Uracil-DNA glycosylase	ENSP00000242576	UNG	7374	Enzyme
P13196	SWISS-PROT	5-aminolevulinate synthase	ENSP00000309259	ALAS1	211	Enzyme
P13497	SWISS-PROT	Bone morphogenetic protein 1	ENSP00000305714	BMP1	649	None
P13569	SWISS-PROT	Cystic fibrosis transmembrane conductance regulator	ENSP00000003084	CFTR	1080	IC
P13612	SWISS-PROT	Integrin alpha-4	ENSP00000380227	ITGA4	3676	None
P13631	SWISS-PROT	Retinoic acid receptor gamma	ENSP00000377947	RARG	5916	NR
P13637	SWISS-PROT	Sodium/potassium-transporting ATPase alpha-3 chain	ENSP00000302397	ATP1A3	478	Transporter
P13716	SWISS-PROT	Porphobilinogen synthase	ENSP00000386284	ALAD	210	Enzyme
P13726	SWISS-PROT	Coagulation factor III	ENSP00000334145	F3	2152	None
P13807	SWISS-PROT	Muscle glycogen synthase	ENSP00000317904	GYS1	2997	Enzyme
P13861	SWISS-PROT	cAMP-dependent protein kinase type II-alpha regulatory subunit 	ENSP00000265563	PRKAR2A	5576	Enzyme
P13866	SWISS-PROT	Sodium/glucose cotransporter 1	ENSP00000266088	SLC5A1	6523	Transporter
P13929	SWISS-PROT	Muscle-specific enolase	ENSP00000324105	ENO3	2027	Enzyme
P13945	SWISS-PROT	Beta-3 adrenergic receptor	ENSP00000343782	ADRB3	155	GPCR
P14060	SWISS-PROT	3-beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type I	ENSP00000358421	HSD3B1	3283	Enzyme
P14061	SWISS-PROT	Estradiol 17-beta-dehydrogenase 1	ENSP00000466799	HSD17B1	3292	Enzyme
P14091	SWISS-PROT	Cathepsin E	ENSP00000350911	CTSE	1510	Enzyme
P14151	SWISS-PROT	Leukocyte adhesion molecule-1	ENSP00000236147	SELL	6402	None
P14174	SWISS-PROT	Macrophage migration inhibitory factor	ENSP00000215754	MIF	4282	None
P14207	SWISS-PROT	Folate receptor beta	ENSP00000298223	FOLR2	2350	None
P14210	SWISS-PROT	Hepatocyte growth factor	ENSP00000222390	HGF	3082	Enzyme
P14222	SWISS-PROT	Perforin-1	ENSP00000316746	PRF1	5551	None
P14314	SWISS-PROT	Glucosidase II beta subunit	ENSP00000252455	PRKCSH	5589	Enzyme
P14324	SWISS-PROT	Farnesyl diphosphate synthase	ENSP00000349078	FDPS	2224	Enzyme
P14384	SWISS-PROT	Carboxypeptidase M	ENSP00000339157	CPM	1368	Enzyme
P14410	SWISS-PROT	Sucrase-isomaltase	ENSP00000264382	SI	6476	Enzyme
P14415	SWISS-PROT	Sodium/potassium-transporting ATPase beta-2 chain	ENSP00000250111	ATP1B2	482	Transporter
P14416	SWISS-PROT	Dopamine D2 receptor	ENSP00000354859	DRD2	1813	GPCR
P14550	SWISS-PROT	Aldehyde reductase	ENSP00000312606	AKR1A1	10327	Enzyme
P14555	SWISS-PROT	Phospholipase A2 group IIA	ENSP00000364252	PLA2G2A	5320	Enzyme
P14616	SWISS-PROT	Insulin receptor-related protein	ENSP00000357178	INSRR	3645	Kinase
P14618	SWISS-PROT	Pyruvate kinase isozymes M1/M2	ENSP00000320171	PKM	5315	Kinase
P14625	SWISS-PROT	Endoplasmin	ENSP00000299767	HSP90B1	7184	None
P14635	SWISS-PROT	G2/mitotic-specific cyclin B1	ENSP00000256442	CCNB1	891	None
P14672	SWISS-PROT	Solute carrier family 2, facilitated glucose transporter member 4	ENSP00000320935	SLC2A4	6517	Transporter
P14679	SWISS-PROT	Tyrosinase	ENSP00000263321	TYR	7299	Enzyme
P14778	SWISS-PROT	Interleukin-1 receptor	ENSP00000233946	IL1R1	3554	None
P14780	SWISS-PROT	Matrix metalloproteinase 9	ENSP00000361405	MMP9	4318	Enzyme
P14784	SWISS-PROT	Interleukin-2 receptor beta chain	ENSP00000216223	IL2RB	3560	None
P14867	SWISS-PROT	GABA receptor alpha-1 subunit	ENSP00000023897	GABRA1	2554	IC
P14902	SWISS-PROT	Indoleamine 2,3-dioxygenase	ENSP00000430505	IDO1	3620	Enzyme
P14920	SWISS-PROT	D-amino-acid oxidase	ENSP00000228476	DAO	1610	Enzyme
P15056	SWISS-PROT	Serine/threonine-protein kinase B-raf	ENSP00000288602	BRAF	673	Kinase
P15085	SWISS-PROT	Carboxypeptidase A1	ENSP00000011292	CPA1	1357	Enzyme
P15086	SWISS-PROT	Carboxypeptidase B	ENSP00000282957	CPB1	1360	Enzyme
P15088	SWISS-PROT	Mast cell carboxypeptidase A	ENSP00000296046	CPA3	1359	Enzyme
P15090	SWISS-PROT	Fatty acid binding protein adipocyte	ENSP00000256104	FABP4	2167	None
P15104	SWISS-PROT	Glutamine synthetase	ENSP00000307900	GLUL	2752	Enzyme
P15121	SWISS-PROT	Aldose reductase	ENSP00000285930	AKR1B1	231	Enzyme
P15144	SWISS-PROT	Aminopeptidase N	ENSP00000300060	ANPEP	290	Enzyme
P15153	SWISS-PROT	Ras-related C3 botulinum toxin substrate 2	ENSP00000249071	RAC2	5880	Enzyme
P15169	SWISS-PROT	Carboxypeptidase N, catalytic subunit	ENSP00000359446	CPN1	1369	Enzyme
P15260	SWISS-PROT	Interferon-gamma receptor alpha chain	ENSP00000356713	IFNGR1	3459	None
P15289	SWISS-PROT	Cerebroside-sulfatase	ENSP00000216124	ARSA	410	Enzyme
P15291	SWISS-PROT	Beta-1,4-galactosyltransferase 1	ENSP00000369055	B4GALT1	2683	Enzyme
P15309	SWISS-PROT	Prostatic acid phosphatase 	ENSP00000323036	ACPP	55	Enzyme
P15313	SWISS-PROT	Vacuolar ATP synthase subunit B, kidney isoform	ENSP00000234396	ATP6V1B1	525	Enzyme
P15328	SWISS-PROT	Folate receptor alpha	ENSP00000308137	FOLR1	2348	None
P15374	SWISS-PROT	Ubiquitin carboxyl-terminal hydrolase isozyme L3	ENSP00000366819	UCHL3	7347	Enzyme
P15382	SWISS-PROT	Voltage-gated potassium channel beta subunit Mink	ENSP00000337255	KCNE1	3753	IC
P15509	SWISS-PROT	Granulocyte-macrophage colony-stimulating factor receptor alpha chain [Precursor]	ENSP00000394227	CSF2RA	1438	None
P15514	SWISS-PROT	Amphiregulin	ENSP00000370227	AREG	374	None
P15531	SWISS-PROT	Nucleoside diphosphate kinase 1	ENSP00000013034	NME1	4830	Kinase
P15538	SWISS-PROT	Cytochrome P450 11B1	ENSP00000292427	CYP11B1	1584	Enzyme
P15559	SWISS-PROT	Quinone reductase 1)	ENSP00000319788	NQO1	1728	Enzyme
P15692	SWISS-PROT	Vascular endothelial growth factor A	ENSP00000361125	VEGFA	7422	None
P15735	SWISS-PROT	Phosphorylase kinase gamma subunit 2	ENSP00000455607	PHKG2	5261	Kinase
P15822	SWISS-PROT	Human immunodeficiency virus type I enhancer-binding protein 1	ENSP00000368698	HIVEP1	3096	TF
P15848	SWISS-PROT	N-acetylgalactosamine-4-sulfatase	ENSP00000264914	ARSB	411	Enzyme
P16050	SWISS-PROT	Arachidonate 15-lipoxygenase	ENSP00000293761	ALOX15	246	Enzyme
P16066	SWISS-PROT	Atrial natriuretic peptide receptor A	ENSP00000357669	NPR1	4881	Kinase
P16083	SWISS-PROT	Quinone reductase 2	ENSP00000337773	NQO2	4835	Enzyme
P16109	SWISS-PROT	P-selectin	ENSP00000263686	SELP	6403	None
P16112	SWISS-PROT	Aggrecan core protein	ENSP00000387356	ACAN	176	None
P16152	SWISS-PROT	Carbonyl reductase [NADPH] 1	ENSP00000290349	CBR1	873	Enzyme
P16220	SWISS-PROT	Cyclic AMP-responsive element-binding protein 1	ENSP00000387699	CREB1	1385	TF
P16233	SWISS-PROT	Pancreatic lipase	ENSP00000358223	PNLIP	5406	Enzyme
P16234	SWISS-PROT	Platelet-derived growth factor receptor alpha 	ENSP00000257290	PDGFRA	5156	Kinase
P16278	SWISS-PROT	Beta-galactosidase	ENSP00000306920	GLB1	2720	Enzyme
P16298	SWISS-PROT	Serine/threonine protein phosphatase PP2B-alpha catalytic subunit	ENSP00000378306	PPP3CB	5532	Enzyme
P16333	SWISS-PROT	Nck adaptor protein 1	ENSP00000288986	NCK1	4690	None
P16389	SWISS-PROT	Voltage-gated potassium channel subunit Kv1.2	ENSP00000314520	KCNA2	3737	IC
P16444	SWISS-PROT	Renal dipeptidase precursor	ENSP00000261615	DPEP1	1800	Enzyme
P16455	SWISS-PROT	6-O-methylguanine-DNA methyltransferase	ENSP00000302111	MGMT	4255	Enzyme
P16471	SWISS-PROT	Prolactin receptor	ENSP00000371432	PRLR	5618	None
P16473	SWISS-PROT	Thyroid stimulating hormone receptor	ENSP00000298171	TSHR	7253	GPCR
P16499	SWISS-PROT	Phosphodiesterase 6A	ENSP00000255266	PDE6A	5145	Enzyme
P16519	SWISS-PROT	Prohormone convertase 2	ENSP00000262545	PCSK2	5126	Enzyme
P16581	SWISS-PROT	Selectin E	ENSP00000331736	SELE	6401	None
P16591	SWISS-PROT	Tyrosine-protein kinase FER	ENSP00000281092	FER	2241	Kinase
P16615	SWISS-PROT	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	ENSP00000440045	ATP2A2	488	Transporter
P16662	SWISS-PROT	UDP-glucuronosyltransferase 2B7	ENSP00000304811	UGT2B7	7364	Enzyme
P16885	SWISS-PROT	Phospholipase C-gamma-2	ENSP00000352336	PLCG2	5336	Enzyme
P17050	SWISS-PROT	Alpha-galactosidase B	ENSP00000379680	NAGA	4668	Enzyme
P17181	SWISS-PROT	Interferon-alpha/beta receptor alpha chain	ENSP00000270139	IFNAR1	3454	None
P17252	SWISS-PROT	Protein kinase C alpha 	ENSP00000408695	PRKCA	5578	Kinase
P17301	SWISS-PROT	Integrin alpha-2	ENSP00000296585	ITGA2	3673	None
P17342	SWISS-PROT	Atrial natriuretic peptide receptor C	ENSP00000265074	NPR3	4883	None
P17405	SWISS-PROT	Sphingomyelin phosphodiesterase	ENSP00000340409	SMPD1	6609	Enzyme
P17516	SWISS-PROT	Aldo-keto reductase family 1 member C4	ENSP00000263126	AKR1C4	1109	Enzyme
P17538	SWISS-PROT	Beta-chymotrypsin	ENSP00000303963	CTRB1	1504	Enzyme
P17568	SWISS-PROT	NADH-ubiquinone oxidoreductase B18 subunit	ENSP00000215565	NDUFB7	4713	Enzyme
P17612	SWISS-PROT	cAMP-dependent protein kinase alpha-catalytic subunit	ENSP00000309591	PRKACA	5566	Kinase
P17655	SWISS-PROT	Calpain 2	ENSP00000295006	CAPN2	824	None
P17658	SWISS-PROT	Voltage-gated potassium channel subunit Kv1.6	ENSP00000280684	KCNA6	3742	IC
P17706	SWISS-PROT	T-cell protein-tyrosine phosphatase	ENSP00000311857	PTPN2	5771	Enzyme
P17707	SWISS-PROT	S-adenosylmethionine decarboxylase 1	ENSP00000357880	AMD1	262	Enzyme
P17735	SWISS-PROT	Tyrosine aminotransferase	ENSP00000348234	TAT	6898	Enzyme
P17752	SWISS-PROT	Tryptophan 5-hydroxylase 1	ENSP00000250018	TPH1	7166	Enzyme
P17787	SWISS-PROT	Neuronal acetylcholine receptor protein beta-2 subunit	ENSP00000357461	CHRNB2	1141	IC
P17858	SWISS-PROT	Phosphofructokinase liver type	ENSP00000269848	PFKL	5211	Kinase
P17931	SWISS-PROT	Galectin-3	ENSP00000254301	LGALS3	3958	None
P17936	SWISS-PROT	Insulin-like growth factor binding protein 3	ENSP00000370473	IGFBP3	3486	None
P17948	SWISS-PROT	Vascular endothelial growth factor receptor 1	ENSP00000282397	FLT1	2321	Kinase
P18031	SWISS-PROT	Protein-tyrosine phosphatase 1B	ENSP00000360683	PTPN1	5770	Enzyme
P18054	SWISS-PROT	Arachidonate 12-lipoxygenase	ENSP00000251535	ALOX12	239	Enzyme
P18065	SWISS-PROT	Insulin-like growth factor binding protein 2	ENSP00000233809	IGFBP2	3485	None
P18084	SWISS-PROT	Integrin beta-5	ENSP00000296181	ITGB5	3693	None
P18089	SWISS-PROT	Alpha-2b adrenergic receptor	ENSP00000387281	ADRA2B	151	GPCR
P18405	SWISS-PROT	Steroid 5-alpha-reductase 1	ENSP00000274192	SRD5A1	6715	Enzyme
P18433	SWISS-PROT	Receptor-type tyrosine-protein phosphatase alpha	ENSP00000369756	PTPRA	5786	Enzyme
P18440	SWISS-PROT	Arylamine N-acetyltransferase 1 	ENSP00000443194	NAT1	9	Enzyme
P18505	SWISS-PROT	GABA receptor beta-1 subunit	ENSP00000295454	GABRB1	2560	IC
P18507	SWISS-PROT	GABA receptor gamma-2 subunit	ENSP00000410732	GABRG2	2566	IC
P18509	SWISS-PROT	Pituitary adenylate cyclase-activating polypeptide	ENSP00000411658	ADCYAP1	116	Enzyme
P18545	SWISS-PROT	Phosphodiesterase 6G	ENSP00000328412	PDE6G	5148	Enzyme
P18564	SWISS-PROT	Integrin beta-6	ENSP00000283249	ITGB6	3694	None
P18825	SWISS-PROT	Alpha-2c adrenergic receptor	ENSP00000386069	ADRA2C	152	GPCR
P18846	SWISS-PROT	Activating transcription factor 1	ENSP00000262053	ATF1	466	TF
P18858	SWISS-PROT	DNA ligase 1	ENSP00000263274	LIG1	3978	Enzyme
P19021	SWISS-PROT	Peptidyl-glycine alpha-amidating monooxygenase 	ENSP00000306100	PAM	5066	Enzyme
P19099	SWISS-PROT	Cytochrome P450 11B2	ENSP00000325822	CYP11B2	1585	None
P19174	SWISS-PROT	Phospholipase C-gamma-1	ENSP00000244007	PLCG1	5335	Enzyme
P19235	SWISS-PROT	Erythropoietin receptor	ENSP00000222139	EPOR	2057	None
P19256	SWISS-PROT	Lymphocyte function-associated antigen 3, CD58	ENSP00000358501	CD58	965	None
P19320	SWISS-PROT	Vascular cell adhesion protein 1	ENSP00000294728	VCAM1	7412	None
P19367	SWISS-PROT	Hexokinase type I	ENSP00000384774	HK1	3098	Kinase
P19419	SWISS-PROT	ETS domain protein Elk-1 	ENSP00000247161	ELK1	2002	TF
P19438	SWISS-PROT	Tumor necrosis factor receptor R1	ENSP00000162749	TNFRSF1A	7132	None
P19440	SWISS-PROT	Gamma-glutamyltranspeptidase 1	ENSP00000248923	GGT1	2678	Enzyme
P19525	SWISS-PROT	Interferon-induced, double-stranded RNA-activated protein kinase	ENSP00000233057	EIF2AK2	5610	Kinase
P19623	SWISS-PROT	Spermidine synthase	ENSP00000366156	SRM	6723	Enzyme
P19634	SWISS-PROT	Sodium/hydrogen exchanger 1	ENSP00000263980	SLC9A1	6548	Transporter
P19652	SWISS-PROT	Alpha-1-acid glycoprotein 2	ENSP00000394936	ORM2	5005	None
P19784	SWISS-PROT	Casein kinase II alpha (prime)	ENSP00000262506	CSNK2A2	1459	Kinase
P19793	SWISS-PROT	Retinoid X receptor alpha	ENSP00000419692	RXRA	6256	NR
P19801	SWISS-PROT	Diamine oxidase	ENSP00000354193	AOC1	26	Enzyme
P19835	SWISS-PROT	Cholesterol esterase	ENSP00000361151	CEL	1056	Enzyme
P19838	SWISS-PROT	Nuclear factor NF-kappa-B p105 subunit	ENSP00000226574	NFKB1	4790	TF
P19961	SWISS-PROT	Alpha-amylase 2B 	ENSP00000354610	AMY2B	280	Enzyme
P19971	SWISS-PROT	Thymidine phosphorylase	ENSP00000252029	TYMP	1890	Enzyme
P20138	SWISS-PROT	Myeloid cell surface antigen CD33 precursor	ENSP00000262262	CD33	945	None
P20142	SWISS-PROT	Pepsinogen C	ENSP00000362116	PGC	5225	Enzyme
P20151	SWISS-PROT	Kallikrein 2	ENSP00000313581	KLK2	3817	Enzyme
P20248	SWISS-PROT	Cyclin A2	ENSP00000274026	CCNA2	890	None
P20264	SWISS-PROT	Homeobox protein Brn-1	ENSP00000355001	POU3F3	5455	TF
P20265	SWISS-PROT	Homeobox protein Brn-2	ENSP00000329170	POU3F2	5454	TF
P20273	SWISS-PROT	CD22	ENSP00000085219	CD22	933	None
P20292	SWISS-PROT	5-lipoxygenase activating protein	ENSP00000369858	ALOX5AP	241	Enzyme
P20309	SWISS-PROT	Muscarinic acetylcholine receptor M3	ENSP00000255380	CHRM3	1131	GPCR
P20594	SWISS-PROT	Atrial natriuretic peptide receptor B	ENSP00000341083	NPR2	4882	Kinase
P20618	SWISS-PROT	Proteasome component C5	ENSP00000262193	PSMB1	5689	Enzyme
P20645	SWISS-PROT	Cation-dependent mannose-6-phosphate receptor	ENSP00000000412	M6PR	4074	None
P20648	SWISS-PROT	Potassium-transporting ATPase alpha chain 1	ENSP00000262623	ATP4A	495	Transporter
P20701	SWISS-PROT	Leukocyte adhesion glycoprotein LFA-1 alpha	ENSP00000349252	ITGAL	3683	None
P20702	SWISS-PROT	Integrin alpha-X	ENSP00000268296	ITGAX	3687	None
P20711	SWISS-PROT	DOPA decarboxylase	ENSP00000350616	DDC	1644	Enzyme
P20794	SWISS-PROT	NA	ENSP00000313021	MAK	4117	Kinase
P20813	SWISS-PROT	Cytochrome P450 2B6	ENSP00000324648	CYP2B6	1555	None
P20815	SWISS-PROT	Cytochrome P450 3A5	ENSP00000222982	CYP3A5	1577	Enzyme
P20839	SWISS-PROT	Inosine-5'-monophosphate dehydrogenase 1	ENSP00000345096	IMPDH1	3614	Enzyme
P20916	SWISS-PROT	Myelin-associated glycoprotein	ENSP00000376048	MAG	4099	None
P21127	SWISS-PROT	PITSLRE serine/threonine-protein kinase CDC2L1	ENSP00000464036	CDK11B	984	Kinase
P21217	SWISS-PROT	Galactoside 3(4)-L-fucosyltransferase	ENSP00000305603	FUT3	2525	Enzyme
P21266	SWISS-PROT	Glutathione S-transferase Mu 3	ENSP00000256594	GSTM3	2947	Enzyme
P21281	SWISS-PROT	V-type proton ATPase subunit B, brain isoform	ENSP00000276390	ATP6V1B2	526	Enzyme
P21397	SWISS-PROT	Monoamine oxidase A	ENSP00000340684	MAOA	4128	Enzyme
P21452	SWISS-PROT	Neurokinin 2 receptor	ENSP00000362403	TACR2	6865	GPCR
P21453	SWISS-PROT	Sphingosine 1-phosphate receptor Edg-1 	ENSP00000305416	S1PR1	1901	GPCR
P21462	SWISS-PROT	Formyl peptide receptor 1	ENSP00000302707	FPR1	2357	GPCR
P21554	SWISS-PROT	Cannabinoid CB1 receptor	ENSP00000358511	CNR1	1268	GPCR
P21579	SWISS-PROT	Synaptotagmin I	ENSP00000261205	SYT1	6857	None
P21589	SWISS-PROT	5'-nucleotidase	ENSP00000257770	NT5E	4907	Enzyme
P21673	SWISS-PROT	Spermidine/spermine N(1)-acetyltransferase 1	ENSP00000368572	SAT1	6303	Enzyme
P21709	SWISS-PROT	Ephrin type-A receptor 1	ENSP00000275815	EPHA1	2041	Kinase
P21728	SWISS-PROT	Dopamine D1 receptor	ENSP00000327652	DRD1	1812	GPCR
P21730	SWISS-PROT	C5a anaphylatoxin chemotactic receptor	ENSP00000347197	C5AR1	728	GPCR
P21731	SWISS-PROT	Thromboxane A2 receptor	ENSP00000393333	TBXA2R	6915	GPCR
P21757	SWISS-PROT	Macrophage scavenger receptor types I and II	ENSP00000262101	MSR1	4481	None
P21802	SWISS-PROT	Fibroblast growth factor receptor 2	ENSP00000410294	FGFR2	2263	Kinase
P21817	SWISS-PROT	Ryanodine receptor 1	ENSP00000352608	RYR1	6261	IC
P21860	SWISS-PROT	Receptor tyrosine-protein kinase erbB-3	ENSP00000267101	ERBB3	2065	Kinase
P21917	SWISS-PROT	Dopamine D4 receptor	ENSP00000176183	DRD4	1815	GPCR
P21918	SWISS-PROT	Dopamine D5 receptor	ENSP00000306129	DRD5	1816	GPCR
P21964	SWISS-PROT	Catechol O-methyltransferase	ENSP00000354511	COMT	1312	Enzyme
P21980	SWISS-PROT	Protein-glutamine gamma-glutamyltransferase	ENSP00000355330	TGM2	7052	Enzyme
P22001	SWISS-PROT	Voltage-gated potassium channel subunit Kv1.3	ENSP00000358784	KCNA3	3738	IC
P22061	SWISS-PROT	Protein-beta-aspartate methyltransferase	ENSP00000356348	PCMT1	5110	Enzyme
P22079	SWISS-PROT	Lactoperoxidase	ENSP00000262290	LPO	4025	Enzyme
P22083	SWISS-PROT	Fucosyltransferase 4	ENSP00000351602	FUT4	2526	Enzyme
P22102	SWISS-PROT	GAR transformylase	ENSP00000371236	GART	2618	None
P22234	SWISS-PROT	Multifunctional protein ADE2	ENSP00000382595	PAICS	10606	None
P22303	SWISS-PROT	Acetylcholinesterase	ENSP00000303211	ACHE	43	Enzyme
P22307	SWISS-PROT	Non-specific lipid-transfer protein	ENSP00000360569	SCP2	6342	None
P22310	SWISS-PROT	UDP-glucuronosyltransferase 1A4	ENSP00000362508	UGT1A4	54657	Enzyme
P22314	SWISS-PROT	Ubiquitin-like modifier-activating enzyme 1	ENSP00000338413	UBA1	7317	None
P22392	SWISS-PROT	Nucleoside diphosphate kinase 2	ENSP00000376886	NME1-NME2	654364	Kinase
P22413	SWISS-PROT	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1	ENSP00000354238	ENPP1	5167	Enzyme
P22455	SWISS-PROT	Fibroblast growth factor receptor 4	ENSP00000292408	FGFR4	2264	Kinase
P22459	SWISS-PROT	Voltage-gated potassium channel subunit Kv1.4	ENSP00000328511	KCNA4	3739	IC
P22460	SWISS-PROT	Voltage-gated potassium channel subunit Kv1.5	ENSP00000252321	KCNA5	3741	IC
P22607	SWISS-PROT	Fibroblast growth factor receptor 3	ENSP00000339824	FGFR3	2261	Kinase
P22612	SWISS-PROT	cAMP-dependent protein kinase, gamma catalytic subunit	ENSP00000366488	PRKACG	5568	Kinase
P22680	SWISS-PROT	Cytochrome P450 7A1	ENSP00000301645	CYP7A1	1581	Enzyme
P22692	SWISS-PROT	Insulin-like growth factor binding protein 4	ENSP00000269593	IGFBP4	3487	None
P22694	SWISS-PROT	cAMP-dependent protein kinase beta-1 catalytic subunit	ENSP00000359719	PRKACB	5567	Kinase
P22732	SWISS-PROT	Solute carrier family 2, facilitated glucose transporter member 5	ENSP00000366641	SLC2A5	6518	Transporter
P22735	SWISS-PROT	Protein-glutamine gamma-glutamyltransferase K	ENSP00000206765	TGM1	7051	Enzyme
P22748	SWISS-PROT	Carbonic anhydrase IV	ENSP00000300900	CA4	762	Enzyme
P22792	SWISS-PROT	Carboxypeptidase N, regulatory subunit	ENSP00000319464	CPN2	1370	Enzyme
P22888	SWISS-PROT	Luteinizing hormone/Choriogonadotropin receptor	ENSP00000294954	LHCGR	3973	GPCR
P22894	SWISS-PROT	Matrix metalloproteinase 8	ENSP00000236826	MMP8	4317	Enzyme
P23109	SWISS-PROT	AMP deaminase 1 	ENSP00000430075	AMPD1	270	Enzyme
P23141	SWISS-PROT	Acyl coenzyme A:cholesterol acyltransferase	ENSP00000353720	CES1	1066	Enzyme
P23219	SWISS-PROT	Cyclooxygenase-1	ENSP00000354612	PTGS1	5742	Enzyme
P23229	SWISS-PROT	Integrin alpha-6	ENSP00000386896	ITGA6	3655	None
P23280	SWISS-PROT	Carbonic anhydrase VI	ENSP00000366662	CA6	765	Enzyme
P23284	SWISS-PROT	Cyclophilin B	ENSP00000300026	PPIB	5479	Enzyme
P23415	SWISS-PROT	Glycine receptor subunit alpha-1	ENSP00000411593	GLRA1	2741	IC
P23416	SWISS-PROT	Glycine receptor subunit alpha-2	ENSP00000218075	GLRA2	2742	IC
P23443	SWISS-PROT	Ribosomal protein S6 kinase 1	ENSP00000468280	RPS6KB1	6198	Kinase
P23458	SWISS-PROT	Tyrosine-protein kinase JAK1 	ENSP00000343204	JAK1	3716	Kinase
P23467	SWISS-PROT	Receptor-type tyrosine-protein phosphatase beta	ENSP00000334928	PTPRB	5787	Enzyme
P23469	SWISS-PROT	Receptor-type tyrosine-protein phosphatase epsilon	ENSP00000254667	PTPRE	5791	Enzyme
P23470	SWISS-PROT	Receptor-type tyrosine-protein phosphatase gamma	ENSP00000418112	PTPRG	5793	Enzyme
P23526	SWISS-PROT	Adenosylhomocysteinase 	ENSP00000217426	AHCY	191	Enzyme
P23528	SWISS-PROT	Cofilin-1	ENSP00000309629	CFL1	1072	None
P23677	SWISS-PROT	Inositol-trisphosphate 3-kinase A	ENSP00000260386	ITPKA	3706	Kinase
P23763	SWISS-PROT	Synaptobrevin-1	ENSP00000379602	VAMP1	6843	None
P23786	SWISS-PROT	Carnitine palmitoyltransferase 2	ENSP00000360541	CPT2	1376	Enzyme
P23919	SWISS-PROT	Thymidylate kinase	ENSP00000304802	DTYMK	1841	Kinase
P23921	SWISS-PROT	Ribonucleoside-diphosphate reductase M1 chain	ENSP00000300738	RRM1	6240	Enzyme
P23945	SWISS-PROT	Follicle stimulating hormone receptor	ENSP00000384708	FSHR	2492	GPCR
P23946	SWISS-PROT	Chymase	ENSP00000250378	CMA1	1215	Enzyme
P23975	SWISS-PROT	Norepinephrine transporter	ENSP00000219833	SLC6A2	6530	Transporter
P24046	SWISS-PROT	GABA receptor rho-1 subunit	ENSP00000412673	GABRR1	2569	IC
P24158	SWISS-PROT	Leukocyte proteinase 3	ENSP00000234347	PRTN3	5657	Enzyme
P24298	SWISS-PROT	Alanine aminotransferase 1	ENSP00000378408	GPT	2875	Enzyme
P24347	SWISS-PROT	Matrix metalloproteinase 11	ENSP00000215743	MMP11	4320	None
P24385	SWISS-PROT	G1/S-specific cyclin D1	ENSP00000227507	CCND1	595	None
P24387	SWISS-PROT	Corticotropin-releasing factor-binding protein	ENSP00000274368	CRHBP	1393	None
P24530	SWISS-PROT	Endothelin receptor ET-B	ENSP00000366416	EDNRB	1910	GPCR
P24557	SWISS-PROT	Thromboxane-A synthase	ENSP00000389414	TBXAS1	6916	Enzyme
