protein_accession,db_source,name
P08581,SWISS-PROT,"Hepatocyte growth factor receptor"
P08588,SWISS-PROT,"Beta-1 adrenergic receptor"
P08603,SWISS-PROT,"Complement factor H"
P08631,SWISS-PROT,"Tyrosine-protein kinase HCK "
P08648,SWISS-PROT,"Fibronectin receptor alpha"
P08684,SWISS-PROT,"Cytochrome P450 3A4"
P08686,SWISS-PROT,"Cytochrome P450 21"
P08709,SWISS-PROT,"Coagulation factor VII"
P08754,SWISS-PROT,"Guanine nucleotide-binding protein G(k), alpha-3 subunit"
P08833,SWISS-PROT,"Insulin-like growth factor binding protein 1"
P08842,SWISS-PROT,"Steryl-sulfatase precursor"
P08861,SWISS-PROT,"Elastase IIIB"
P08865,SWISS-PROT,"40S ribosomal protein SA"
P08908,SWISS-PROT,"Serotonin 1a (5-HT1a) receptor"
P08912,SWISS-PROT,"Muscarinic acetylcholine receptor M5"
P08913,SWISS-PROT,"Alpha-2a adrenergic receptor"
P08922,SWISS-PROT,"Proto-oncogene tyrosine-protein kinase ROS"
P09038,SWISS-PROT,"Basic fibroblast growth factor"
P09093,SWISS-PROT,"Elastase IIIA"
P09104,SWISS-PROT,"Neuron-specific enolase"
P09172,SWISS-PROT,"Dopamine beta-hydroxylase"
P09210,SWISS-PROT,"Glutathione S-transferase A2"
P09211,SWISS-PROT,"Glutathione S-transferase Pi"
P09237,SWISS-PROT,"Matrix metalloproteinase 7"
P09238,SWISS-PROT,"Matrix metalloproteinase 10"
P09382,SWISS-PROT,"Galectin-1"
P09417,SWISS-PROT,"Dihydropteridine reductase"
P09455,SWISS-PROT,"Cellular retinol-binding protein"
P09467,SWISS-PROT,"Fructose-1,6-bisphosphatase"
P09471,SWISS-PROT,"Guanine nucleotide-binding protein G(o), alpha subunit 1"
P09488,SWISS-PROT,"Glutathione S-transferase Mu 1"
P09601,SWISS-PROT,"Heme oxygenase 1"
P09619,SWISS-PROT,"Platelet-derived growth factor receptor beta"
P09668,SWISS-PROT,"Cathepsin H"
P09681,SWISS-PROT,"Gastric inhibitory polypeptide"
P09769,SWISS-PROT,"Tyrosine-protein kinase FGR"
P09848,SWISS-PROT,"Lactase-phlorizin hydrolase"
P09871,SWISS-PROT,"Complement C1s"
P09874,SWISS-PROT,"Poly [ADP-ribose] polymerase-1"
P09884,SWISS-PROT,"DNA polymerase alpha subunit"
P09917,SWISS-PROT,"Arachidonate 5-lipoxygenase"
P09923,SWISS-PROT,"Intestinal alkaline phosphatase"
P09936,SWISS-PROT,"Ubiquitin carboxyl-terminal hydrolase isozyme L1"
P09958,SWISS-PROT,"Furin"
P09960,SWISS-PROT,"Leukotriene A4 hydrolase"
P0C1S8,SWISS-PROT,"Wee1-like protein kinase 2"
P0C264,SWISS-PROT,"Putative uncharacterized serine/threonine-protein kinase SgK110"
P0C869,SWISS-PROT,"Phospholipase A2 group 1VB"
P0CG29,SWISS-PROT,"Glutathione S-transferase theta 2"
P10070,SWISS-PROT,"Zinc finger protein GLI2"
P10144,SWISS-PROT,"Granzyme B"
P10145,SWISS-PROT,"Interleukin-8"
P10153,SWISS-PROT,"Non-secretory ribonuclease"
P10253,SWISS-PROT,"Lysosomal alpha-glucosidase"
P10275,SWISS-PROT,"Androgen Receptor"
P10276,SWISS-PROT,"Retinoic acid receptor alpha"
P10323,SWISS-PROT,"Acrosin"
P10398,SWISS-PROT,
P10415,SWISS-PROT,"Apoptosis regulator Bcl-2"
P10586,SWISS-PROT,"Receptor-type tyrosine-protein phosphatase F (LAR)"
P10619,SWISS-PROT,"Lysosomal protective protein"
P10632,SWISS-PROT,"Cytochrome P450 2C8"
P10635,SWISS-PROT,"Cytochrome P450 2D6"
P10644,SWISS-PROT,"cAMP-dependent protein kinase type I-alpha regulatory subunit"
P10696,SWISS-PROT,"Alkaline phosphatase placental-like"
P10721,SWISS-PROT,"Stem cell growth factor receptor"
P10745,SWISS-PROT,"Interstitial retinol-binding protein"
P10746,SWISS-PROT,"Uroporphyrinogen-III synthase"
P10747,SWISS-PROT,"T-cell-specific surface glycoprotein CD28"
P10809,SWISS-PROT,"Heat shock protein HSP 60"
P10826,SWISS-PROT,"Retinoic acid receptor beta"
P10827,SWISS-PROT,"Thyroid hormone receptor alpha"
P10828,SWISS-PROT,"Thyroid hormone receptor beta-1"
P10912,SWISS-PROT,"Growth hormone receptor"
P11086,SWISS-PROT,"Phenylethanolamine N-methyltransferase"
P11150,SWISS-PROT,"Hepatic lipase"
P11166,SWISS-PROT,"Glucose transporter"
P11168,SWISS-PROT,"Solute carrier family 2, facilitated glucose transporter member 2"
P11169,SWISS-PROT,"Solute carrier family 2, facilitated glucose transporter member 3"
P11172,SWISS-PROT,"Uridine 5'-monophosphate synthase"
P11177,SWISS-PROT,"Pyruvate dehydrogenase E1 component beta subunit"
P11215,SWISS-PROT,"Integrin alpha M"
P11216,SWISS-PROT,"Brain glycogen phosphorylase"
P11217,SWISS-PROT,"Muscle glycogen phosphorylase"
P11229,SWISS-PROT,"Muscarinic acetylcholine receptor M1"
P11230,SWISS-PROT,"Acetylcholine receptor protein beta chain"
P11245,SWISS-PROT,"Arylamine N-acetyltransferase 2"
P11274,SWISS-PROT,"Breakpoint cluster region protein "
P11309,SWISS-PROT,"Serine/threonine-protein kinase PIM1 "
P11362,SWISS-PROT,"Fibroblast growth factor receptor 1"
P11387,SWISS-PROT,"DNA topoisomerase I"
P11388,SWISS-PROT,"DNA topoisomerase II alpha"
P11413,SWISS-PROT,"Glucose-6-phosphate 1-dehydrogenase"
P11473,SWISS-PROT,"Vitamin D receptor"
P11474,SWISS-PROT,"Estrogen-related receptor alpha"
P11509,SWISS-PROT,"Cytochrome P450 2A6"
P11511,SWISS-PROT,"Cytochrome P450 19A1"
P11586,SWISS-PROT,"Methylenetetrahydrofolate dehydrogenase"
P11597,SWISS-PROT,"Cholesteryl ester transfer protein"
P11678,SWISS-PROT,"Eosinophil peroxidase"
P11712,SWISS-PROT,"Cytochrome P450 2C9"
P11717,SWISS-PROT,"Insulin-like growth factor II receptor"
P11766,SWISS-PROT,"Alcohol dehydrogenase class III"
P11802,SWISS-PROT,"Cyclin-dependent kinase 4"
P11836,SWISS-PROT,"B-lymphocyte antigen CD20"
P11926,SWISS-PROT,"Ornithine decarboxylase"
P12081,SWISS-PROT,"Histidyl-tRNA synthetase"
P12104,SWISS-PROT,"Fatty acid binding protein intestinal"
P12235,SWISS-PROT,"Adenine nucleotide translocator 1"
P12259,SWISS-PROT,"Coagulation factor V"
P12268,SWISS-PROT,"Inosine-5'-monophosphate dehydrogenase 2"
P12277,SWISS-PROT,"Creatine kinase B-type"
P12314,SWISS-PROT,"High affinity immunoglobulin gamma Fc receptor I"
P12318,SWISS-PROT,"Low affinity immunoglobulin gamma Fc region receptor II-a"
P12319,SWISS-PROT,"IgE Fc receptor, alpha-subunit"
P12544,SWISS-PROT,"Granzyme A"
P12644,SWISS-PROT,"Bone morphogenetic protein 4"
P12821,SWISS-PROT,"Angiotensin-converting enzyme"
P12931,SWISS-PROT,"Tyrosine-protein kinase SRC"
P12955,SWISS-PROT,"Xaa-Pro dipeptidase"
P13051,SWISS-PROT,"Uracil-DNA glycosylase"
P13196,SWISS-PROT,"5-aminolevulinate synthase"
P13497,SWISS-PROT,"Bone morphogenetic protein 1"
P13569,SWISS-PROT,"Cystic fibrosis transmembrane conductance regulator"
P13612,SWISS-PROT,"Integrin alpha-4"
P13631,SWISS-PROT,"Retinoic acid receptor gamma"
P13637,SWISS-PROT,"Sodium/potassium-transporting ATPase alpha-3 chain"
P13716,SWISS-PROT,"Porphobilinogen synthase"
P13726,SWISS-PROT,"Coagulation factor III"
P13807,SWISS-PROT,"Muscle glycogen synthase"
P13861,SWISS-PROT,"cAMP-dependent protein kinase type II-alpha regulatory subunit "
P13866,SWISS-PROT,"Sodium/glucose cotransporter 1"
P13929,SWISS-PROT,"Muscle-specific enolase"
P13945,SWISS-PROT,"Beta-3 adrenergic receptor"
P14060,SWISS-PROT,"3-beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type I"
P14061,SWISS-PROT,"Estradiol 17-beta-dehydrogenase 1"
P14091,SWISS-PROT,"Cathepsin E"
P14151,SWISS-PROT,"Leukocyte adhesion molecule-1"
P14174,SWISS-PROT,"Macrophage migration inhibitory factor"
P14207,SWISS-PROT,"Folate receptor beta"
P14210,SWISS-PROT,"Hepatocyte growth factor"
P14222,SWISS-PROT,"Perforin-1"
P14314,SWISS-PROT,"Glucosidase II beta subunit"
P14324,SWISS-PROT,"Farnesyl diphosphate synthase"
P14384,SWISS-PROT,"Carboxypeptidase M"
P14410,SWISS-PROT,"Sucrase-isomaltase"
P14415,SWISS-PROT,"Sodium/potassium-transporting ATPase beta-2 chain"
P14416,SWISS-PROT,"Dopamine D2 receptor"
P14550,SWISS-PROT,"Aldehyde reductase"
P14555,SWISS-PROT,"Phospholipase A2 group IIA"
P14616,SWISS-PROT,"Insulin receptor-related protein"
P14618,SWISS-PROT,"Pyruvate kinase isozymes M1/M2"
P14625,SWISS-PROT,"Endoplasmin"
P14635,SWISS-PROT,"G2/mitotic-specific cyclin B1"
P14672,SWISS-PROT,"Solute carrier family 2, facilitated glucose transporter member 4"
P14679,SWISS-PROT,"Tyrosinase"
P14778,SWISS-PROT,"Interleukin-1 receptor"
P14780,SWISS-PROT,"Matrix metalloproteinase 9"
P14784,SWISS-PROT,"Interleukin-2 receptor beta chain"
P14867,SWISS-PROT,"GABA receptor alpha-1 subunit"
P14902,SWISS-PROT,"Indoleamine 2,3-dioxygenase"
P14920,SWISS-PROT,"D-amino-acid oxidase"
P15056,SWISS-PROT,"Serine/threonine-protein kinase B-raf"
P15085,SWISS-PROT,"Carboxypeptidase A1"
P15086,SWISS-PROT,"Carboxypeptidase B"
P15088,SWISS-PROT,"Mast cell carboxypeptidase A"
P15090,SWISS-PROT,"Fatty acid binding protein adipocyte"
P15104,SWISS-PROT,"Glutamine synthetase"
P15121,SWISS-PROT,"Aldose reductase"
P15144,SWISS-PROT,"Aminopeptidase N"
P15153,SWISS-PROT,"Ras-related C3 botulinum toxin substrate 2"
P15169,SWISS-PROT,"Carboxypeptidase N, catalytic subunit"
P15260,SWISS-PROT,"Interferon-gamma receptor alpha chain"
P15289,SWISS-PROT,"Cerebroside-sulfatase"
P15291,SWISS-PROT,"Beta-1,4-galactosyltransferase 1"
P15309,SWISS-PROT,"Prostatic acid phosphatase "
P15313,SWISS-PROT,"Vacuolar ATP synthase subunit B, kidney isoform"
P15328,SWISS-PROT,"Folate receptor alpha"
P15374,SWISS-PROT,"Ubiquitin carboxyl-terminal hydrolase isozyme L3"
P15382,SWISS-PROT,"Voltage-gated potassium channel beta subunit Mink"
P15509,SWISS-PROT,"Granulocyte-macrophage colony-stimulating factor receptor alpha chain [Precursor]"
P15514,SWISS-PROT,"Amphiregulin"
P15531,SWISS-PROT,"Nucleoside diphosphate kinase 1"
P15538,SWISS-PROT,"Cytochrome P450 11B1"
P15559,SWISS-PROT,"Quinone reductase 1)"
P15692,SWISS-PROT,"Vascular endothelial growth factor A"
P15735,SWISS-PROT,"Phosphorylase kinase gamma subunit 2"
P15822,SWISS-PROT,"Human immunodeficiency virus type I enhancer-binding protein 1"
P15848,SWISS-PROT,"N-acetylgalactosamine-4-sulfatase"
P16050,SWISS-PROT,"Arachidonate 15-lipoxygenase"
P16066,SWISS-PROT,"Atrial natriuretic peptide receptor A"
P16083,SWISS-PROT,"Quinone reductase 2"
P16109,SWISS-PROT,"P-selectin"
P16112,SWISS-PROT,"Aggrecan core protein"
P16152,SWISS-PROT,"Carbonyl reductase [NADPH] 1"
P16220,SWISS-PROT,"Cyclic AMP-responsive element-binding protein 1"
P16233,SWISS-PROT,"Pancreatic lipase"
P16234,SWISS-PROT,"Platelet-derived growth factor receptor alpha "
P16278,SWISS-PROT,"Beta-galactosidase"
P16298,SWISS-PROT,"Serine/threonine protein phosphatase PP2B-alpha catalytic subunit"
P16333,SWISS-PROT,"Nck adaptor protein 1"
P16389,SWISS-PROT,"Voltage-gated potassium channel subunit Kv1.2"
P16444,SWISS-PROT,"Renal dipeptidase precursor"
P16455,SWISS-PROT,"6-O-methylguanine-DNA methyltransferase"
P16471,SWISS-PROT,"Prolactin receptor"
P16473,SWISS-PROT,"Thyroid stimulating hormone receptor"
P16499,SWISS-PROT,"Phosphodiesterase 6A"
P16519,SWISS-PROT,"Prohormone convertase 2"
P16581,SWISS-PROT,"Selectin E"
P16591,SWISS-PROT,"Tyrosine-protein kinase FER"
P16615,SWISS-PROT,"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2"
P16662,SWISS-PROT,"UDP-glucuronosyltransferase 2B7"
P16885,SWISS-PROT,"Phospholipase C-gamma-2"
P17050,SWISS-PROT,"Alpha-galactosidase B"
P17181,SWISS-PROT,"Interferon-alpha/beta receptor alpha chain"
P17252,SWISS-PROT,"Protein kinase C alpha "
P17301,SWISS-PROT,"Integrin alpha-2"
P17342,SWISS-PROT,"Atrial natriuretic peptide receptor C"
P17405,SWISS-PROT,"Sphingomyelin phosphodiesterase"
P17516,SWISS-PROT,"Aldo-keto reductase family 1 member C4"
P17538,SWISS-PROT,"Beta-chymotrypsin"
P17568,SWISS-PROT,"NADH-ubiquinone oxidoreductase B18 subunit"
P17612,SWISS-PROT,"cAMP-dependent protein kinase alpha-catalytic subunit"
P17655,SWISS-PROT,"Calpain 2"
P17658,SWISS-PROT,"Voltage-gated potassium channel subunit Kv1.6"
P17706,SWISS-PROT,"T-cell protein-tyrosine phosphatase"
P17707,SWISS-PROT,"S-adenosylmethionine decarboxylase 1"
P17735,SWISS-PROT,"Tyrosine aminotransferase"
P17752,SWISS-PROT,"Tryptophan 5-hydroxylase 1"
P17787,SWISS-PROT,"Neuronal acetylcholine receptor protein beta-2 subunit"
P17858,SWISS-PROT,"Phosphofructokinase liver type"
P17931,SWISS-PROT,"Galectin-3"
P17936,SWISS-PROT,"Insulin-like growth factor binding protein 3"
P17948,SWISS-PROT,"Vascular endothelial growth factor receptor 1"
P18031,SWISS-PROT,"Protein-tyrosine phosphatase 1B"
P18054,SWISS-PROT,"Arachidonate 12-lipoxygenase"
P18065,SWISS-PROT,"Insulin-like growth factor binding protein 2"
P18084,SWISS-PROT,"Integrin beta-5"
P18089,SWISS-PROT,"Alpha-2b adrenergic receptor"
P18405,SWISS-PROT,"Steroid 5-alpha-reductase 1"
P18433,SWISS-PROT,"Receptor-type tyrosine-protein phosphatase alpha"
P18440,SWISS-PROT,"Arylamine N-acetyltransferase 1 "
P18505,SWISS-PROT,"GABA receptor beta-1 subunit"
P18507,SWISS-PROT,"GABA receptor gamma-2 subunit"
P18509,SWISS-PROT,"Pituitary adenylate cyclase-activating polypeptide"
P18545,SWISS-PROT,"Phosphodiesterase 6G"
P18564,SWISS-PROT,"Integrin beta-6"
P18825,SWISS-PROT,"Alpha-2c adrenergic receptor"
P18846,SWISS-PROT,"Activating transcription factor 1"
P18858,SWISS-PROT,"DNA ligase 1"
P19021,SWISS-PROT,"Peptidyl-glycine alpha-amidating monooxygenase "
P19099,SWISS-PROT,"Cytochrome P450 11B2"
P19174,SWISS-PROT,"Phospholipase C-gamma-1"
P19235,SWISS-PROT,"Erythropoietin receptor"
P19256,SWISS-PROT,"Lymphocyte function-associated antigen 3, CD58"
P19320,SWISS-PROT,"Vascular cell adhesion protein 1"
P19367,SWISS-PROT,"Hexokinase type I"
P19419,SWISS-PROT,"ETS domain protein Elk-1 "
P19438,SWISS-PROT,"Tumor necrosis factor receptor R1"
P19440,SWISS-PROT,"Gamma-glutamyltranspeptidase 1"
P19525,SWISS-PROT,"Interferon-induced, double-stranded RNA-activated protein kinase"
P19623,SWISS-PROT,"Spermidine synthase"
P19634,SWISS-PROT,"Sodium/hydrogen exchanger 1"
P19652,SWISS-PROT,"Alpha-1-acid glycoprotein 2"
P19784,SWISS-PROT,"Casein kinase II alpha (prime)"
P19793,SWISS-PROT,"Retinoid X receptor alpha"
P19801,SWISS-PROT,"Diamine oxidase"
P19835,SWISS-PROT,"Cholesterol esterase"
P19838,SWISS-PROT,"Nuclear factor NF-kappa-B p105 subunit"
P19961,SWISS-PROT,"Alpha-amylase 2B "
P19971,SWISS-PROT,"Thymidine phosphorylase"
P20138,SWISS-PROT,"Myeloid cell surface antigen CD33 precursor"
P20142,SWISS-PROT,"Pepsinogen C"
P20151,SWISS-PROT,"Kallikrein 2"
P20248,SWISS-PROT,"Cyclin A2"
P20264,SWISS-PROT,"Homeobox protein Brn-1"
P20265,SWISS-PROT,"Homeobox protein Brn-2"
P20273,SWISS-PROT,"CD22"
P20292,SWISS-PROT,"5-lipoxygenase activating protein"
P20309,SWISS-PROT,"Muscarinic acetylcholine receptor M3"
P20594,SWISS-PROT,"Atrial natriuretic peptide receptor B"
P20618,SWISS-PROT,"Proteasome component C5"
P20645,SWISS-PROT,"Cation-dependent mannose-6-phosphate receptor"
P20648,SWISS-PROT,"Potassium-transporting ATPase alpha chain 1"
P20701,SWISS-PROT,"Leukocyte adhesion glycoprotein LFA-1 alpha"
P20702,SWISS-PROT,"Integrin alpha-X"
P20711,SWISS-PROT,"DOPA decarboxylase"
P20794,SWISS-PROT,
P20813,SWISS-PROT,"Cytochrome P450 2B6"
P20815,SWISS-PROT,"Cytochrome P450 3A5"
P20839,SWISS-PROT,"Inosine-5'-monophosphate dehydrogenase 1"
P20916,SWISS-PROT,"Myelin-associated glycoprotein"
P21127,SWISS-PROT,"PITSLRE serine/threonine-protein kinase CDC2L1"
P21217,SWISS-PROT,"Galactoside 3(4)-L-fucosyltransferase"
P21266,SWISS-PROT,"Glutathione S-transferase Mu 3"
P21281,SWISS-PROT,"V-type proton ATPase subunit B, brain isoform"
P21397,SWISS-PROT,"Monoamine oxidase A"
P21452,SWISS-PROT,"Neurokinin 2 receptor"
P21453,SWISS-PROT,"Sphingosine 1-phosphate receptor Edg-1 "
P21462,SWISS-PROT,"Formyl peptide receptor 1"
P21554,SWISS-PROT,"Cannabinoid CB1 receptor"
P21579,SWISS-PROT,"Synaptotagmin I"
P21589,SWISS-PROT,"5'-nucleotidase"
P21673,SWISS-PROT,"Spermidine/spermine N(1)-acetyltransferase 1"
P21709,SWISS-PROT,"Ephrin type-A receptor 1"
P21728,SWISS-PROT,"Dopamine D1 receptor"
P21730,SWISS-PROT,"C5a anaphylatoxin chemotactic receptor"
P21731,SWISS-PROT,"Thromboxane A2 receptor"
P21757,SWISS-PROT,"Macrophage scavenger receptor types I and II"
P21802,SWISS-PROT,"Fibroblast growth factor receptor 2"
P21817,SWISS-PROT,"Ryanodine receptor 1"
P21860,SWISS-PROT,"Receptor tyrosine-protein kinase erbB-3"
P21917,SWISS-PROT,"Dopamine D4 receptor"
P21918,SWISS-PROT,"Dopamine D5 receptor"
P21964,SWISS-PROT,"Catechol O-methyltransferase"
P21980,SWISS-PROT,"Protein-glutamine gamma-glutamyltransferase"
P22001,SWISS-PROT,"Voltage-gated potassium channel subunit Kv1.3"
P22061,SWISS-PROT,"Protein-beta-aspartate methyltransferase"
P22079,SWISS-PROT,"Lactoperoxidase"
P22083,SWISS-PROT,"Fucosyltransferase 4"
P22102,SWISS-PROT,"GAR transformylase"
P22234,SWISS-PROT,"Multifunctional protein ADE2"
P22303,SWISS-PROT,"Acetylcholinesterase"
P22307,SWISS-PROT,"Non-specific lipid-transfer protein"
P22310,SWISS-PROT,"UDP-glucuronosyltransferase 1A4"
P22314,SWISS-PROT,"Ubiquitin-like modifier-activating enzyme 1"
P22392,SWISS-PROT,"Nucleoside diphosphate kinase 2"
P22413,SWISS-PROT,"Ectonucleotide pyrophosphatase/phosphodiesterase family member 1"
P22455,SWISS-PROT,"Fibroblast growth factor receptor 4"
P22459,SWISS-PROT,"Voltage-gated potassium channel subunit Kv1.4"
P22460,SWISS-PROT,"Voltage-gated potassium channel subunit Kv1.5"
P22607,SWISS-PROT,"Fibroblast growth factor receptor 3"
P22612,SWISS-PROT,"cAMP-dependent protein kinase, gamma catalytic subunit"
P22680,SWISS-PROT,"Cytochrome P450 7A1"
P22692,SWISS-PROT,"Insulin-like growth factor binding protein 4"
P22694,SWISS-PROT,"cAMP-dependent protein kinase beta-1 catalytic subunit"
P22732,SWISS-PROT,"Solute carrier family 2, facilitated glucose transporter member 5"
P22735,SWISS-PROT,"Protein-glutamine gamma-glutamyltransferase K"
P22748,SWISS-PROT,"Carbonic anhydrase IV"
P22792,SWISS-PROT,"Carboxypeptidase N, regulatory subunit"
P22888,SWISS-PROT,"Luteinizing hormone/Choriogonadotropin receptor"
P22894,SWISS-PROT,"Matrix metalloproteinase 8"
P23109,SWISS-PROT,"AMP deaminase 1 "
P23141,SWISS-PROT,"Acyl coenzyme A:cholesterol acyltransferase"
P23219,SWISS-PROT,"Cyclooxygenase-1"
P23229,SWISS-PROT,"Integrin alpha-6"
P23280,SWISS-PROT,"Carbonic anhydrase VI"
P23284,SWISS-PROT,"Cyclophilin B"
P23415,SWISS-PROT,"Glycine receptor subunit alpha-1"
P23416,SWISS-PROT,"Glycine receptor subunit alpha-2"
P23443,SWISS-PROT,"Ribosomal protein S6 kinase 1"
P23458,SWISS-PROT,"Tyrosine-protein kinase JAK1 "
P23467,SWISS-PROT,"Receptor-type tyrosine-protein phosphatase beta"
P23469,SWISS-PROT,"Receptor-type tyrosine-protein phosphatase epsilon"
P23470,SWISS-PROT,"Receptor-type tyrosine-protein phosphatase gamma"
P23526,SWISS-PROT,"Adenosylhomocysteinase "
P23528,SWISS-PROT,"Cofilin-1"
P23677,SWISS-PROT,"Inositol-trisphosphate 3-kinase A"
P23763,SWISS-PROT,"Synaptobrevin-1"
P23786,SWISS-PROT,"Carnitine palmitoyltransferase 2"
P23919,SWISS-PROT,"Thymidylate kinase"
P23921,SWISS-PROT,"Ribonucleoside-diphosphate reductase M1 chain"
P23945,SWISS-PROT,"Follicle stimulating hormone receptor"
P23946,SWISS-PROT,"Chymase"
P23975,SWISS-PROT,"Norepinephrine transporter"
P24046,SWISS-PROT,"GABA receptor rho-1 subunit"
P24158,SWISS-PROT,"Leukocyte proteinase 3"
P24298,SWISS-PROT,"Alanine aminotransferase 1"
P24347,SWISS-PROT,"Matrix metalloproteinase 11"
P24385,SWISS-PROT,"G1/S-specific cyclin D1"
P24387,SWISS-PROT,"Corticotropin-releasing factor-binding protein"
P24530,SWISS-PROT,"Endothelin receptor ET-B"
P24557,SWISS-PROT,"Thromboxane-A synthase"
P24592,SWISS-PROT,"Insulin-like growth factor binding protein 6"
P24593,SWISS-PROT,"Insulin-like growth factor binding protein 5"
P24666,SWISS-PROT,"Low molecular weight phosphotyrosine protein phosphatase"
P24723,SWISS-PROT,"Protein kinase C eta"
P24752,SWISS-PROT,"Acetyl-CoA acetyltransferase, mitochondrial"
P24864,SWISS-PROT,"G1/S-specific cyclin E1 "
P24941,SWISS-PROT,"Cyclin-dependent kinase 2"
P25021,SWISS-PROT,"Histamine H2 receptor"
P25024,SWISS-PROT,"Interleukin-8 receptor A"
P25025,SWISS-PROT,"Interleukin-8 receptor B"
P25054,SWISS-PROT,"Adenomatous polyposis coli protein"
P25090,SWISS-PROT,"Lipoxin A4 receptor"
P25098,SWISS-PROT,"G-protein coupled receptor kinase 2"
P25100,SWISS-PROT,"Alpha-1d adrenergic receptor"
P25101,SWISS-PROT,"Endothelin receptor ET-A"
P25103,SWISS-PROT,"Neurokinin 1 receptor"
P25105,SWISS-PROT,"Platelet activating factor receptor"
P25116,SWISS-PROT,"Proteinase activated receptor 1"
P25774,SWISS-PROT,"Cathepsin S"
P25929,SWISS-PROT,"Neuropeptide Y receptor type 1"
P25963,SWISS-PROT,"NF-kappaB inhibitor alpha"
P26006,SWISS-PROT,"Integrin alpha-3"
P26010,SWISS-PROT,"Integrin beta-7"
P26358,SWISS-PROT,"DNA (cytosine-5)-methyltransferase 1"
P26439,SWISS-PROT,"3-beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type II"
P26639,SWISS-PROT,"Threonyl-tRNA synthetase"
P26640,SWISS-PROT,"Valyl-tRNA synthetase 2"
P26927,SWISS-PROT,"Hepatocyte growth factor-like protein"
P27037,SWISS-PROT,"Activin receptor type-2A"
P27144,SWISS-PROT,"Adenylate kinase 4"
P27169,SWISS-PROT,"Serum paraoxonase/arylesterase 1"
P27338,SWISS-PROT,"Monoamine oxidase B"
P27361,SWISS-PROT,"MAP kinase ERK1"
P27448,SWISS-PROT,"Serine/threonine-protein kinase c-TAK1"
P27487,SWISS-PROT,"Dipeptidyl peptidase IV"
P27540,SWISS-PROT,"Aryl hydrocarbon receptor nuclear translocator"
P27695,SWISS-PROT,"DNA-(apurinic or apyrimidinic site) lyase"
P27707,SWISS-PROT,"Deoxycytidine kinase"
P27708,SWISS-PROT,"Dihydroorotase"
P27815,SWISS-PROT,"Phosphodiesterase 4A"
P27824,SWISS-PROT,"Calnexin"
P27986,SWISS-PROT,"PI3-kinase p85-alpha subunit"
P27987,SWISS-PROT,"Inositol-trisphosphate 3-kinase B"
P28062,SWISS-PROT,"Proteasome subunit beta type-8"
P28074,SWISS-PROT,"Proteasome Macropain subunit MB1"
P28161,SWISS-PROT,"Glutathione S-transferase Mu 2 "
P28221,SWISS-PROT,"Serotonin 1d (5-HT1d) receptor"
P28222,SWISS-PROT,"Serotonin 1b (5-HT1b) receptor"
P28223,SWISS-PROT,"Serotonin 2a (5-HT2a) receptor"
P28300,SWISS-PROT,"Lysyl oxidase"
P28329,SWISS-PROT,"Choline acetylase"
P28332,SWISS-PROT,"Alcohol dehydrogenase 6 "
P28335,SWISS-PROT,"Serotonin 2c (5-HT2c) receptor"
P28336,SWISS-PROT,"Neuromedin B receptor"
P28340,SWISS-PROT,"DNA polymerase delta subunit 1"
P28472,SWISS-PROT,"GABA receptor beta-3 subunit"
P28476,SWISS-PROT,"GABA receptor rho-2 subunit"
P28482,SWISS-PROT,"MAP kinase ERK2"
P28562,SWISS-PROT,"Dual specificity protein phosphatase 1"
P28566,SWISS-PROT,"Serotonin 1e (5-HT1e) receptor"
P28702,SWISS-PROT,"Retinoid X receptor beta"
P28715,SWISS-PROT,"DNA excision repair protein ERCC-5"
P28827,SWISS-PROT,"Receptor-type tyrosine-protein phosphatase mu"
P28838,SWISS-PROT,"Leucine aminopeptidase"
P28845,SWISS-PROT,"11-beta-hydroxysteroid dehydrogenase 1"
P28907,SWISS-PROT,"Lymphocyte differentiation antigen CD38"
P29074,SWISS-PROT,"Protein-tyrosine phosphatase MEG1"
P29120,SWISS-PROT,"Prohormone convertase 1"
P29122,SWISS-PROT,"Subtilisin/kexin type 6"
P29144,SWISS-PROT,"Tripeptidyl-peptidase 2"
P29218,SWISS-PROT,"Inositol-1(or 4)-monophosphatase 1"
P29274,SWISS-PROT,"Adenosine A2a receptor"
P29275,SWISS-PROT,"Adenosine A2b receptor"
P29317,SWISS-PROT,"Ephrin type-A receptor 2"
P29320,SWISS-PROT,"Ephrin type-A receptor 3"
P29322,SWISS-PROT,"Ephrin type-A receptor 8"
P29323,SWISS-PROT,"Ephrin type-B receptor 2"
P29350,SWISS-PROT,"Protein-tyrosine phosphatase 1C"
P29353,SWISS-PROT,"SHC-transforming protein 1"
P29371,SWISS-PROT,"Neurokinin 3 receptor"
P29373,SWISS-PROT,"Cellular retinoic acid-binding protein II"
P29376,SWISS-PROT,"Leukocyte tyrosine kinase receptor"
P29401,SWISS-PROT,"Transketolase"
P29466,SWISS-PROT,"Caspase-1"
P29474,SWISS-PROT,"Nitric-oxide synthase, endothelial"
P29475,SWISS-PROT,"Nitric-oxide synthase, brain"
P29597,SWISS-PROT,"Tyrosine-protein kinase TYK2 "
P29762,SWISS-PROT,"Cellular retinoic acid-binding protein I"
