ID	Disease_ID	Disorder_name	gene	Gene_symbols	OMIM_ID	Chromosome	Class	OMIM_Disease_ID
586	316	Chondrosarcoma, 215300 (3)	EXT1	EXT1	608177	8q24.11-q24.13	Cancer	215300
587	316	Chondrosarcoma, extraskeletal myxoid (3)	CSMF	CSMF	600542	9q22	Cancer	
588	316	Chondrosarcoma, extraskeletal myxoid (3)	EWSR1	EWSR1, EWS	133450	22q12	Cancer	
589	318	Chorea, hereditary benign, 118700 (3)	TITF1	TITF1, NKX2A, TTF1	600635	14q13	Neurological	118700
590	319	Choreoacanthocytosis, 200150 (3)	VPS13A	VPS13A, CHAC	605978	9q21	Neurological	200150
591	320	Choreoathetosis, hypothyroidism, and respiratory distress (3)	TITF1	TITF1, NKX2A, TTF1	600635	14q13	multiple	
592	323	Choroideremia, 303100 (3)	CHM	CHM, TCD	300390	Xq21.2	Ophthamological	303100
593	326	Chromosome 22q13.3 deletion syndrome, 606232 (3)	PSAP2	PSAP2, PROSAP2, KIAA1650	606230	22q13.3	multiple	606232
594	327	Chronic granulomatous disease, autosomal, due to deficiency of CYBA, 233690 (3)	CYBA	CYBA	608508	16q24	Immunological	233690
595	327	Chronic granulomatous disease due to deficiency of NCF-1, 233700 (3)	NCF1	NCF1	608512	7q11.23	Immunological	233700
596	327	Chronic granulomatous disease due to deficiency of NCF-2, 233710 (3)	NCF2	NCF2	608515	1q25	Immunological	233710
597	327	Chronic granulomatous disease, X-linked, 306400 (3)	CYBB	CYBB, CGD	300481	Xp21.1	Immunological	306400
598	2327	Chronic infections, due to opsonin defect (3)	MBL2	MBL2, MBL, MBP1	154545	10q11.2-q21	Immunological	
599	328	Chudley-Lowry syndrome, 309490 (3)	ATRX	ATRX, XH2, XNP, MRXS3, SHS	300032	Xq13	multiple	309490
600	329	Chylomicronemia syndrome, familial (3)	LPL	LPL, LIPD	238600	8p22	Metabolic	
601	330	Chylomicron retention disease, 246700 (3)	SARA2	SARA2, SAR1B, CMRD	607690	5q31.1	Gastrointestinal	246700
602	330	Chylomicron retention disease with Marinesco-Sjogren syndrome, 607692 (3)	SARA2	SARA2, SAR1B, CMRD	607690	5q31.1	Gastrointestinal	607692
603	331	Ciliary dyskinesia, primary, 1, 242650 (3)	DNAI1	DNAI1, CILD1, ICS, PCD	604366	9p21-p13	Respiratory	242650
604	331	Ciliary dyskinesia, primary, 3 608644 (3)	DNAH5	DNAH5, HL1, PCD, CILD3	603335	5p15-p14	Respiratory	608644
605	332	CINCA syndrome, 607115 (3)	CIAS1	CIAS1, C1orf7, FCU, FCAS	606416	1q44	multiple	607115
606	334	Cirrhosis, cryptogenic (3)	KRT18	KRT18	148070	12q13	Gastrointestinal	
607	334	Cirrhosis, cryptogenic (3)	KRT8	KRT8	148060	12q13	Gastrointestinal	
608	334	Cirrhosis, noncryptogenic, susceptibility to, 215600 (3)	KRT18	KRT18	148070	12q13	Gastrointestinal	215600
609	334	Cirrhosis, noncryptogenic, susceptibility to, 215600 (3)	KRT8	KRT8	148060	12q13	Gastrointestinal	215600
610	334	Cirrhosis, North American Indian childhood type, 604901 (3)	CIRH1A	CIRH1A, NAIC, TEX292, KIAA1988	607456	16q22	Gastrointestinal	604901
611	335	Citrullinemia, 215700 (3)	ASS	ASS	603470	9q34	Metabolic	215700
612	335	Citrullinemia, adult-onset type II, 603471 (3)	SLC25A13	SLC25A13, CTLN2	603859	7q21.3	Metabolic	603471
613	335	Citrullinemia, type II, neonatal-onset, 605814 (3)	SLC25A13	SLC25A13, CTLN2	603859	7q21.3	Metabolic	605814
614	336	Cleft lip/palate ectodermal dysplasia syndrome, 225000 (3)	HVEC	HVEC, PVRL1, PVRR1, PRR1	600644	11q23-q24	Developmental	225000
615	336	Cleft lip/palate, nonsyndromic, 608874 (3)	MSX1	MSX1, HOX7, HYD1, OFC5	142983	4p16.1	Developmental	608874
616	336	Cleft palate with ankyloglossia, 303400 (3)	TBX22	TBX22, CPX	300307	Xq12-q21	Developmental	303400
617	337	Cleidocranial dysplasia, 119600 (3)	RUNX2	RUNX2, CBFA1, PEBP2A1, AML3	600211	6p21	Skeletal	119600
618	338	Coats disease, 300216 (3)	NDP	NDP, ND	310600	Xp11.4	Ophthamological	300216
619	339	Cockayne syndrome, type A, 216400 (3)	ERCC8	ERCC8, CKN1, CSA	609412	5q12	multiple	216400
620	339	Cockayne syndrome, type B, 133540 (3)	ERCC6	ERCC6, CKN2, COFS, CSB	609413	10q11	multiple	133540
621	340	Codeine sensitivity (3)	CYP2D@	CYP2D@, CYP2D, P450C2D	124030	22q13.1	Metabolic	
622	341	Coffin-Lowry syndrome, 303600 (3)	RPS6KA3	RPS6KA3, RSK2, MRX19	300075	Xp22.2-p22.1	multiple	303600
623	342	Cohen syndrome, 216550 (3)	COH1	COH1	607817	8q22-q23	multiple	216550
624	343	Colchicine resistance (3)	ABCB1	ABCB1, PGY1, MDR1	171050	7q21.1	Unclassified	
625	344	Cold-induced autoinflammatory syndrome, familial, 120100 (3)	CIAS1	CIAS1, C1orf7, FCU, FCAS	606416	1q44	Immunological	120100
626	2344	Cold-induced sweating syndrome, 272430 (3)	CRLF1	CRLF1, CISS	604237	19p12	multiple	272430
627	345	Coloboma, ocular, 120200 (3)	PAX6	PAX6, AN2, MGDA	607108	11p13	Ophthamological	120200
628	345	Coloboma, ocular, 120200 (3)	SHH	SHH, HPE3, HLP3, SMMCI	600725	7q36	Ophthamological	120200
629	346	Colon adenocarcinoma (3)	RAD54B	RAD54B	604289	8q21.3-q22	Cancer	
630	346	Colon adenocarcinoma (3)	RAD54L	RAD54L, HR54, HRAD54	603615	1p32	Cancer	
631	346	Colon cancer (3)	BCL10	BCL10	603517	1p22	Cancer	
632	346	Colon cancer (3)	PTPN12	PTPN12, PTPG1	600079	7q11.23	Cancer	
633	346	Colon cancer (3)	TGFBR2	TGFBR2, HNPCC6	190182	3p22	Cancer	
634	346	Colon cancer, advanced (3)	SRC	SRC, ASV, SRC1	190090	20q12-q13	Cancer	
635	346	Colon cancer, hereditary nonpolypopsis, type 7 (3)	MLH3	MLH3, HNPCC7	604395	14q24.3	Cancer	7
636	346	Colon cancer, somatic, 114500 (3)	PTPRJ	PTPRJ, DEP1	600925	11p11.2	Cancer	114500
637	346	Colonic adenoma recurrence, reduced risk of, 114500 (3)	ODC1	ODC1	165640	2p25	Cancer	114500
638	347	Colonic aganglionosis, total, with small bowel involvement (3)	RET	RET, MEN2A	164761	10q11.2	Gastrointestinal	
639	348	Colorblindness, deutan (3)	OPN1MW	OPN1MW, GCP, CBD, CBBM	303800	Xq28	Ophthamological	
640	348	Colorblindness, protan (3)	OPN1LW	OPN1LW, RCP, CBP, CBBM	303900	Xq28	Ophthamological	
641	348	Colorblindness, tritan (3)	OPN1SW	OPN1SW, BCP, CBT	190900	7q31.3-q32	Ophthamological	
642	346	Colorectal adenomatous polyposis, autosomal recessive, with pilomatricomas, 132600 (3)	MUTYH	MUTYH	604933	1p34.3-p32.1	Cancer	132600
643	346	Colorectal cancer, 114500 (3)	AXIN2	AXIN2	604025	17q24	Cancer	114500
644	346	Colorectal cancer, 114500 (3)	BUB1B	BUB1B, BUBR1	602860	15q15	Cancer	114500
645	346	Colorectal cancer, 114500 (3)	EP300	EP300	602700	22q13	Cancer	114500
646	346	Colorectal cancer, 114500 (3)	PDGFRL	PDGFRL, PDGRL, PRLTS	604584	8p22-p21.3	Cancer	114500
647	346	Colorectal cancer, 114500 (3)	PIK3CA	PIK3CA	171834	3q26.3	Cancer	114500
648	346	Colorectal cancer, 114500 (3)	TP53	TP53, P53, LFS1	191170	17p13.1	Cancer	114500
649	346	Colorectal cancer (3)	APC	APC, GS, FPC	175100	5q21-q22	Cancer	
650	346	Colorectal cancer (3)	BAX	BAX	600040	19q13.3-q13.4	Cancer	
651	346	Colorectal cancer (3)	CTNNB1	CTNNB1	116806	3p22-p21.3	Cancer	
652	346	Colorectal cancer (3)	DCC	DCC	120470	18q21.3	Cancer	
653	346	Colorectal cancer (3)	MCC	MCC	159350	5q21	Cancer	
654	346	Colorectal cancer (3)	NRAS	NRAS	164790	1p13.2	Cancer	
655	346	Colorectal cancer, hereditary nonpolyposis, type 1, 120435 (3)	MSH2	MSH2, COCA1, FCC1, HNPCC1	609309	2p22-p21	Cancer	120435
656	346	Colorectal cancer, hereditary nonpolyposis, type 2, 609310 (3)	MLH1	MLH1, COCA2, HNPCC2	120436	3p21.3	Cancer	609310
657	346	Colorectal cancer, hereditary nonpolyposis, type 3 (3)	PMS1	PMS1, PMSL1, HNPCC3	600258	2q31-q33	Cancer	3
658	346	Colorectal cancer, hereditary nonpolyposis, type 4 (3)	PMS2	PMS2, PMSL2, HNPCC4	600259	7p22	Cancer	4
659	346	Colorectal cancer, hereditary nonpolyposis, type 5 (3)	MSH6	MSH6, GTBP, HNPCC5	600678	2p16	Cancer	5
660	346	Colorectal cancer, hereditary nonpolyposis, type 6 (3)	TGFBR2	TGFBR2, HNPCC6	190182	3p22	Cancer	6
661	346	Colorectal cancer, somatic, 109800 (3)	FGFR3	FGFR3, ACH	134934	4p16.3	Cancer	109800
662	346	Colorectal cancer, somatic, 114500 (3)	FLCN	FLCN, BHD	607273	17p11.2	Cancer	114500
663	346	Colorectal cancer, somatic, 114500 (3)	MLH3	MLH3, HNPCC7	604395	14q24.3	Cancer	114500
664	346	Colorectal cancer, somatic (3)	BRAF	BRAF	164757	7q34	Cancer	
665	346	Colorectal cancer, somatic (3)	DLC1	DLC1	604258	8p22-p21.3	Cancer	
666	346	Colorectal cancer, sporadic, 114500 (3)	PLA2G2A	PLA2G2A, PLA2B, PLA2L, MOM1	172411	1p35	Cancer	114500
667	346	Colorectal cancer, susceptibility to (3)	CCND1	CCND1, PRAD1, BCL1	168461	11q13	Cancer	
668	346	Colorectal cancer with chromosomal instability (3)	BUB1	BUB1	602452	2q14	Cancer	
669	4350	Combined C6/C7 deficiency (3)	C6	C6	217050	5p13	Immunological	
670	350	Combined factor V and VIII deficiency, 227300 (3)	LMAN1	LMAN1, ERGIC53, F5F8D, MCFD1	601567	18q21.3-q22	Hematological	227300
671	2350	Combined hyperlipemia, familial (3)	LPL	LPL, LIPD	238600	8p22	Metabolic	
672	4350	Combined immunodeficiency, X-linked, moderate, 312863 (3)	IL2RG	IL2RG, SCIDX1, SCIDX, IMD4	308380	Xq13	Immunological	312863
673	6350	Combined oxidative phosphorylation deficiency, 609060 (3)	GFM1	GFM1, EFG1, GFM	606639	3q25.1-q26.2	multiple	609060
674	8350	Combined SAP deficiency (3)	PSAP	PSAP, SAP1	176801	10q22.1	Metabolic	
675	351	Complex I, mitochondrial respiratory chain, deficiency of, 252010 (3)	NDUFS6	NDUFS6	603848	5pter-p15.33	multiple	252010
676	351	Complex V, mitochondrial respiratory chain, deficiency of, 604273 (3)	ATPAF2	ATPAF2, ATP12	608918	17p11.2	multiple	604273
677	352	Cone dystrophy-1, 304020 (3)	RPGR	RPGR, RP3, CRD, RP15, COD1	312610	Xp21.1	Ophthamological	304020
678	352	Cone dystrophy-3, 602093 (3)	GUCA1A	GUCA1A, GCAP	600364	6p21.1	Ophthamological	602093
679	352	Cone-rod dystrophy, 300029 (3)	RPGR	RPGR, RP3, CRD, RP15, COD1	312610	Xp21.1	Ophthamological	300029
680	352	Cone-rod dystrophy 3 (3)	ABCA4	ABCA4, ABCR, STGD1, FFM, RP19	601691	1p21-p13	Ophthamological	3
681	352	Cone-rod dystrophy (3)	AIPL1	AIPL1, LCA4	604392	17p13.1	Ophthamological	
682	352	Cone-rod dystrophy 6, 601777(3)	GUCY2D	GUCY2D, GUC2D, LCA1, CORD6	600179	17p13.1	Ophthamological	6
683	352	Cone-rod dystrophy 9, 608194 (3)	RPGRIP1	RPGRIP1, LCA6, CORD9	605446	14q11	Ophthamological	608194
684	352	Cone-rod retinal dystrophy-2, 120970 (3)	CRX	CRX, CORD2, CRD	602225	19q13.3	Ophthamological	120970
685	2354	Congenital bilateral absence of vas deferens, 277180 (3)	CFTR	CFTR, ABCC7, CF, MRP7	602421	7q31.2	Unclassified	277180
686	4354	Congenital cataracts, facial dysmorphism, and neuropathy, 604168 (3)	CTDP1	CTDP1, FCP1, CCFDN	604927	18q23	Ophthamological	604168
687	354	Congenital disorder of glycosylation, type Ic, 603147 (3)	ALG6	ALG6	604566	1p22.3	Metabolic	603147
688	354	Congenital disorder of glycosylation, type Id, 601110 (3)	ALG3	ALG3, NOT56L, CDGS4	608750	3q27	Metabolic	601110
689	354	Congenital disorder of glycosylation, type Ie, 608799 (3)	DPM1	DPM1, MPDS, CDGIE	603503	20q13.13	Metabolic	608799
690	354	Congenital disorder of glycosylation, type If, 609180 (3)	MPDU1	MPDU1, SL15, CDGIF	604041	17p13.1-p12	Metabolic	609180
691	354	Congenital disorder of glycosylation, type Ig, 607143 (3)	ALG12	ALG12	607144	Chr.22	Metabolic	607143
692	354	Congenital disorder of glycosylation, type Ih, 608104 (3)	ALG8	ALG8	608103	11pter-p15.5	Metabolic	608104
693	354	Congenital disorder of glycosylation, type Ii, 607906 (3)	ALG2	ALG2, CDGII	607905	9q22	Metabolic	607906
694	354	Congenital disorder of glycosylation, type II, 608776 (3)	DIBD1	DIBD1, ALG9	606941	11q23	Metabolic	608776
695	354	Congenital disorder of glycosylation, type IIc, 266265 (3)	SLC35C1	SLC35C1, FUCT1	605881	11p11.2	Metabolic	266265
696	354	Congenital disorder of glycosylation, type IId, 607091 (3)	B4GALT1	B4GALT1, GGTB2, GT1, GTB	137060	9p13	Metabolic	607091
697	354	Congenital disorder of glycosylation, type IIe, 608779 (3)	COG7	COG7, CDG2E	606978	16p	Metabolic	608779
698	354	Congenital disorder of glycosylation, type Ij, 608093 (3)	DPAGT2	DPAGT2, DGPT	191350	11q23.3	Metabolic	608093
699	354	Congenital disorder of glycosylation, type Ik, 608540 (3)	ALG1	ALG1, HMAT1, HMT1	605907	16p13.3	Metabolic	608540
700	355	Congestive heart failure, susceptibility to (3)	ADRA2C	ADRA2C, ADRA2L2	104250	4p16.1	Cardiovascular	
701	355	Congestive heart failure, susceptibility to (3)	ADRB1	ADRB1, ADRB1R, RHR	109630	10q24-q26	Cardiovascular	
702	356	Conjunctivitis, ligneous, 217090 (3)	PLG	PLG	173350	6q26	Ophthamological	217090
703	357	Conotruncal anomaly face syndrome, 217095 (3)	TBX1	TBX1, DGS, CTHM, CAFS, TGA, DORV, VCFS, DGCR	602054	22q11.2	Cardiovascular	217095
704	358	Contractural arachnodactyly, congenital (3)	FBN2	FBN2, CCA	121050	5q23-q31	Connective tissue	
705	359	Convulsions, familial febrile, 4, 604352 (3)	MASS1	MASS1, VLGR1, KIAA0686, FEB4, USH2C	602851	5q14	Neurological	604352
706	360	COPD, rate of decline of lung function in, 606963 (3)	MMP1	MMP1, CLG	120353	11q22-q23	Respiratory	606963
707	361	Coproporphyria (3)	CPO	CPO	121300	3q12	Metabolic	
708	362	Corneal clouding, autosomal recessive (3)	APOA1	APOA1	107680	11q23	Ophthamological	
709	362	Corneal dystrophy, Avellino type, 607541 (3)	TGFBI	TGFBI, CSD2, CDGG1, CSD, BIGH3, CDG2	601692	5q31	Ophthamological	607541
710	362	Corneal dystrophy, gelatinous drop-like, 204870 (3)	TACSTD2	TACSTD2, TROP2, M1S1	137290	1p32	Ophthamological	204870
711	362	Corneal dystrophy, Groenouw type I, 121900 (3)	TGFBI	TGFBI, CSD2, CDGG1, CSD, BIGH3, CDG2	601692	5q31	Ophthamological	121900
712	362	Corneal dystrophy, hereditary polymorphous posterior, 122000 (3)	VSX1	VSX1, RINX, PPCD, PPD, KTCN	605020	20p11.2	Ophthamological	122000
713	362	Corneal dystrophy, hereditary polymorphous posterior, 2, 122000 (3)	COL8A2	COL8A2, FECD, PPCD2	120252	1p34.3-p32.3	Ophthamological	122000
714	362	Corneal dystrophy, lattice type I, 122200 (3)	TGFBI	TGFBI, CSD2, CDGG1, CSD, BIGH3, CDG2	601692	5q31	Ophthamological	122200
715	362	Corneal dystrophy, lattice type IIIA, 608471 (3)	TGFBI	TGFBI, CSD2, CDGG1, CSD, BIGH3, CDG2	601692	5q31	Ophthamological	608471
716	362	Corneal dystrophy, Reis-Bucklers type, 608470 (3)	TGFBI	TGFBI, CSD2, CDGG1, CSD, BIGH3, CDG2	601692	5q31	Ophthamological	608470
717	362	Corneal dystrophy, Thiel-Behnke type, 602082 (3)	TGFBI	TGFBI, CSD2, CDGG1, CSD, BIGH3, CDG2	601692	5q31	Ophthamological	602082
718	362	Corneal fleck dystrophy, 121850 (3)	PIP5K3	PIP5K3, CFD	609414	2q35	Ophthamological	121850
719	362	Cornea plana congenita, recessive, 217300 (3)	KERA	KERA, CNA2	603288	12q22	Ophthamological	217300
720	364	Cornelia de Lange syndrome, 122470 (3)	NIPBL	NIPBL, CDLS	608667	5p13.1	Developmental	122470
721	365	Coronary artery disease, autosomal dominant, 1, 608320 (3)	MEF2A	MEF2A, ADCAD1	600660	15q26	Cardiovascular	608320
722	365	Coronary artery disease in familial hypercholesterolemia, protection against, 143890 (3)	ABCA1	ABCA1, ABC1, HDLDT1, TGD	600046	9q22-q31	Cardiovascular	143890
723	365	Coronary artery disease, susceptibility to (3)	KL	KL	604824	13q12	Cardiovascular	
724	365	Coronary artery disease, susceptibility to (3)	PON1	PON1, PON, ESA	168820	7q21.3	Cardiovascular	
725	365	Coronary artery disease, susceptibility to (3)	PON2	PON2	602447	7q21.3	Cardiovascular	
726	365	Coronary artery spasm, susceptibility to (3)	PON1	PON1, PON, ESA	168820	7q21.3	Cardiovascular	
727	365	Coronary heart disease, susceptibility to (3)	MMP3	MMP3, STMY1	185250	11q23	Cardiovascular	
728	2365	Coronary spasms, susceptibility to (3)	NOS3	NOS3	163729	7q36	Cardiovascular	
729	366	Corpus callosum, agenesis of, with mental retardation, ocular coloboma and micrognathia, 300472 (3)	IGBP1	IGBP1	300139	Xq13.1-q13.3	Neurological	300472
730	367	Cortisol resistance (3)	NR3C1	NR3C1, GCR, GRL	138040	5q31	Endocrine	
731	368	Cortisone reductase deficiency, 604931 (3)	GDH	GDH	138090	1pter-p36.13	Metabolic	604931
732	368	Cortisone reductase deficiency, 604931 (3)	HSD11B1	HSD11B1, HSD11, HSD11L	600713	1q32-q41	Metabolic	604931
733	369	Costello syndrome, 218040 (3)	HRAS	HRAS	190020	11p15.5	multiple	218040
734	370	Coumarin resistance, 122700 (3)	CYP2A6	CYP2A6, CYP2A3, CYP2A, P450C2A	122720	19q13.2	Hematological	122700
735	372	Cowden disease, 158350 (3)	PTEN	PTEN, MMAC1	601728	10q23.31	Cancer	158350
736	372	Cowden-like syndrome, 158350 (3)	BMPR1A	BMPR1A, ACVRLK3, ALK3	601299	10q22.3	Cancer	158350
737	374	CPT deficiency, hepatic, type IA, 255120 (3)	CPT1A	CPT1A	600528	11q13	Metabolic	255120
738	374	CPT deficiency, hepatic, type II, 600649 (3)	CPT2	CPT2	600650	1p32	Metabolic	600649
739	374	CPT II deficiency, lethal neonatal, 608836 (3)	CPT2	CPT2	600650	1p32	Metabolic	608836
740	376	Cramps, familial, potassium-aggravated (3)	SCN4A	SCN4A, HYPP, NAC1A	603967	17q23.1-q25.3	Muscular	
741	377	Craniofacial anomalies, empty sella turcica, corneal endothelial changes, and abnormal retinal and auditory bipolar cells (3)	VSX1	VSX1, RINX, PPCD, PPD, KTCN	605020	20p11.2	multiple	
742	378	Craniofacial-deafness-hand syndrome, 122880 (3)	PAX3	PAX3, WS1, HUP2, CDHS	606597	2q35	multiple	122880
743	379	Craniofacial-skeletal-dermatologic dysplasia (3)	FGFR2	FGFR2, BEK, CFD1, JWS	176943	10q26	multiple	
744	380	Craniofrontonasal dysplasia, 304110 (3)	EFNB1	EFNB1, EPLG2, CFNS, CFND	300035	Xq12	Skeletal	304110
745	382	Craniometaphyseal dysplasia, 123000 (3)	ANKH	ANKH, HANK, ANK, CMDJ, CCAL2, CPPDD	605145	5p15.2-p14.1	Bone	123000
746	383	Craniosynostosis, nonspecific (3)	FGFR2	FGFR2, BEK, CFD1, JWS	176943	10q26	Skeletal	
747	383	Craniosynostosis, type 2, 604757 (3)	MSX2	MSX2, CRS2, HOX8	123101	5q34-q35	Skeletal	604757
748	384	CRASH syndrome, 303350 (3)	L1CAM	L1CAM, CAML1, HSAS1	308840	Xq28	multiple	303350
749	2385	Creatine deficiency syndrome, X-linked, 300352 (3)	SLC6A8	SLC6A8, CRTR	300036	Xq28	Neurological	300352
750	385	Creatine phosphokinase, elevated serum, 123320 (3)	CAV3	CAV3, LGMD1C	601253	3p25	Metabolic	123320
751	385	Creatine phosphokinase, elevated serum, 123320 (3)	CAV3	CAV3, LGMD1C	601253	3p25	Metabolic	123320
752	388	Creutzfeldt-Jakob disease, 123400 (3)	PRNP	PRNP, PRIP	176640	20pter-p12	Neurological	123400
753	388	Creutzfeldt-Jakob disease, variant, resistance to, 123400 (3)	HLA-DQB1	HLA-DQB1	604305	6p21.3	Neurological	123400
754	389	Crigler-Najjar syndrome, type I, 218800 (3)	UGT1A1	UGT1A1, UGT1, GNT1	191740	2q37	multiple	218800
755	389	Crigler-Najjar syndrome, type II, 606785 (3)	UGT1A1	UGT1A1, UGT1, GNT1	191740	2q37	multiple	606785
756	390	Crohn disease, susceptibility to, 266600 (3)	CARD15	CARD15, NOD2, IBD1, CD, ACUG, PSORAS1	605956	16q12	Gastrointestinal	266600
757	390	Crohn disease, susceptibility to, 266600 (3)	DLG5	DLG5, PDLG, KIAA0583	604090	10q23	Gastrointestinal	266600
758	391	Crouzon syndrome, 123500 (3)	FGFR2	FGFR2, BEK, CFD1, JWS	176943	10q26	Skeletal	123500
759	391	Crouzon syndrome with acanthosis nigricans (3)	FGFR3	FGFR3, ACH	134934	4p16.3	Skeletal	
760	392	Cryptorchidism, bilateral, 219050 (3)	LGR8	LGR8, GREAT	606655	13q13.1	Renal	219050
761	392	Cryptorchidism, idiopathic, 219050 (3)	INSL3	INSL3	146738	19p13.2	Renal	219050
762	394	Currarino syndrome, 176450 (3)	HLXB9	HLXB9, HOXHB9, SCRA1	142994	7q36	Skeletal	176450
763	395	Cutis laxa, AD, 123700 (3)	ELN	ELN	130160	7q11.2	Connective tissue	123700
764	395	Cutis laxa, autosomal dominant, 123700 (3)	FBLN5	FBLN5, ARMD3	604580	14q32.1	Connective tissue	123700
765	395	Cutis laxa, autosomal recessive, 219100 (3)	FBLN5	FBLN5, ARMD3	604580	14q32.1	Connective tissue	219100
766	395	Cutis laxa, neonatal (3)	ATP7A	ATP7A, MNK, MK, OHS	300011	Xq12-q13	Connective tissue	
767	396	Cyclic ichthyosis with epidermolytic hyperkeratosis, 607602 (3)	KRT1	KRT1	139350	12q13	Dermatological	607602
768	397	Cylindromatosis, familial, 132700 (3)	CYLD1	CYLD1, CDMT, EAC	605018	16q12-q13	Dermatological	132700
769	398	Cystathioninuria, 219500 (3)	CTH	CTH	607657	1p31.1	Metabolic	219500
770	399	Cystic fibrosis, 219700 (3)	CFTR	CFTR, ABCC7, CF, MRP7	602421	7q31.2	Respiratory	219700
771	400	Cystinosis, atypical nephropathic (3)	CTNS	CTNS	606272	17p13	Renal	
772	400	Cystinosis, late-onset juvenile or adolescent nephropathic, 219900 (3)	CTNS	CTNS	606272	17p13	Renal	219900
773	400	Cystinosis, nephropathic, 219800 (3)	CTNS	CTNS	606272	17p13	Renal	219800
774	400	Cystinosis, ocular nonnephropathic, 219750 (3)	CTNS	CTNS	606272	17p13	Renal	219750
775	401	Cystinuria, 220100 (3)	SLC3A1	SLC3A1, ATR1, D2H, NBAT	104614	2p16.3	Renal	220100
776	401	Cystinuria, type II (3)	SLC7A9	SLC7A9, CSNU3	604144	19q13.1	Renal	
777	401	Cystinuria, type III (3)	SLC7A9	SLC7A9, CSNU3	604144	19q13.1	Renal	
778	402	D-2-hydroxyglutaric aciduria, 600721 (3)	D2HGD	D2HGD	609186	2p25.3	Metabolic	600721
779	404	Darier disease, 124200 (3)	ATP2A2	ATP2A2, ATP2B, DAR	108740	12q23-q24.1	Dermatological	124200
780	405	D-bifunctional protein deficiency, 261515 (3)	HSD17B4	HSD17B4	601860	5q2	Metabolic	261515
781	406	Deafness, autosomal dominant 10, 601316 (3)	EYA4	EYA4, DFNA10, CMD1J	603550	6q23	Ear,Nose,Throat	601316
782	406	Deafness, autosomal dominant 1, 124900 (3)	DIAPH1	DIAPH1, DFNA1, LFHL1	602121	5q31	Ear,Nose,Throat	124900
783	406	Deafness, autosomal dominant 11, neurosensory, 601317 (3)	MYO7A	MYO7A, USH1B, DFNB2, DFNA11	276903	11q13.5	Ear,Nose,Throat	601317
784	406	Deafness, autosomal dominant 12, 601842 (3)	TECTA	TECTA, DFNA8, DFNA12, DFNB21	602574	11q22-q24	Ear,Nose,Throat	601842
785	406	Deafness, autosomal dominant 13, 601868 (3)	COL11A2	COL11A2, STL3, DFNA13	120290	6p21.3	Ear,Nose,Throat	601868
786	406	Deafness, autosomal dominant 15, 602459 (3)	POU4F3	POU4F3, BRN3C	602460	5q31	Ear,Nose,Throat	602459
787	406	Deafness, autosomal dominant 17, 603622 (3)	MYH9	MYH9, MHA, FTNS, DFNA17	160775	22q11.2	Ear,Nose,Throat	603622
788	406	Deafness, autosomal dominant 20/26, 604717 (3)	ACTG1	ACTG1, DFNA20, DFNA26	102560	17q25.3	Ear,Nose,Throat	604717
789	406	Deafness, autosomal dominant 22, 606346 (3)	MYO6	MYO6, DFNA22, DFNB37	600970	6q13	Ear,Nose,Throat	606346
790	406	Deafness, autosomal dominant 2, 600101 (3)	GJB3	GJB3, CX31, DFNA2	603324	1p35.1	Ear,Nose,Throat	600101
791	406	Deafness, autosomal dominant 2, 600101 (3)	KCNQ4	KCNQ4, DFNA2	603537	1p34	Ear,Nose,Throat	600101
792	406	Deafness, autosomal dominant 28, 608641 (3)	TFCP2L3	TFCP2L3, DFNA28	608576	8q22	Ear,Nose,Throat	608641
793	406	Deafness, autosomal dominant 3, 601544 (3)	GJB2	GJB2, CX26, DFNB1, PPK, DFNA3, KID, HID	121011	13q11-q12	Ear,Nose,Throat	601544
794	406	Deafness, autosomal dominant 3, 601544 (3)	GJB6	GJB6, CX30, DFNA3, HED, ED2	604418	13q12	Ear,Nose,Throat	601544
795	406	Deafness, autosomal dominant 36, 606705 (3)	TMC1	TMC1, DFNB7, DFNB11, DFNA36	606706	9q13-q21	Ear,Nose,Throat	606705
796	406	Deafness, autosomal dominant 36, with dentinogenesis, 605594 (3)	DSPP	DSPP, DPP, DGI1, DFNA39, DTDP2	125485	4q21.3	Ear,Nose,Throat	605594
797	406	Deafness, autosomal dominant 40 (3)	CRYM	CRYM, DFNA40	123740	16p13.11-p12.3	Ear,Nose,Throat	40
798	406	Deafness, autosomal dominant 4, 600652 (3)	MYH14	MYH14, KIAA2034, DFNA4	608568	19q13.33	Ear,Nose,Throat	600652
799	406	Deafness, autosomal dominant 5 (3)	DFNA5	DFNA5	600994	7p15	Ear,Nose,Throat	5
800	406	Deafness, autosomal dominant 8, 601543 (3)	TECTA	TECTA, DFNA8, DFNA12, DFNB21	602574	11q22-q24	Ear,Nose,Throat	601543
801	406	Deafness, autosomal dominant 9, 601369 (3)	COCH	COCH, DFNA9	603196	14q12-q13	Ear,Nose,Throat	601369
802	406	Deafness, autosomal dominant nonsyndromic sensorineural, 607841 (3)	MYO1A	MYO1A	601478	12q13-q15	Ear,Nose,Throat	607841
803	406	Deafness, autosomal dominant, with peripheral neuropathy (3)	GJB3	GJB3, CX31, DFNA2	603324	1p35.1	Ear,Nose,Throat	
804	406	Deafness, autosomal recessive 10, congenital, 605316 (3)	TMPRSS3	TMPRSS3, ECHOS1, DFNB8, DFNB10	605511	21q22.3	Ear,Nose,Throat	605316
